appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
434210,It's Spring Again,Baba Yaga Games,Sometimes You,,790,72,0,"200,000 .. 500,000",237,0,220,0,99.0,99.0,0.0,1
434250,Masked Shooters 2,FreezeNova,FreezeNova,,1128,472,0,"200,000 .. 500,000",189,0,183,0,99.0,99.0,0.0,0
434460,Rock of Ages 2: Bigger & Boulder,ACE Team,SEGA,,2857,496,0,"500,000 .. 1,000,000",201,0,169,0,1499.0,1499.0,0.0,8
434480,Mathoria: It All Adds Up,Senshi.Labs,Senshi.Labs,,57,39,0,"20,000 .. 50,000",477,0,477,0,0.0,0.0,0.0,0
434490,Otem's Defiance,HyperBerry Games,HyperBerry Games,,28,0,0,"0 .. 20,000",312,0,326,0,699.0,699.0,0.0,0
434520,Simutrans,The Simutrans Team,The Simutrans Team,,468,154,0,"100,000 .. 200,000",509,0,439,0,0.0,0.0,0.0,31
434570,Blood and Bacon,Big Corporation,Grunge Games LTD,,32796,1633,0,"1,000,000 .. 2,000,000",232,84,128,84,99.0,99.0,0.0,28
434650,Lost Castle / 失落城堡,Hunter Studio,Neon Doctrine,,20442,3082,0,"1,000,000 .. 2,000,000",1206,0,469,0,999.0,999.0,0.0,114
434730,Half Dead,Room710Games,Room710Games,,2582,718,0,"200,000 .. 500,000",118,0,81,0,99.0,199.0,50.0,4
434820,Brushwood Buddies,Steven Colling,Steven Colling,,149,29,0,"50,000 .. 100,000",301,0,220,0,299.0,299.0,0.0,0
435000,The Whisperer in Darkness,NQNStudios,NQNStudios,,34,8,0,"0 .. 20,000",0,0,0,0,150.0,150.0,0.0,0
435020,AFL Evolution,Wicked Witch,Tru Blu Games,,79,26,0,"20,000 .. 50,000",0,0,0,0,0.0,0.0,0.0,0
435030,Lost Lands: Mahjong,FIVE-BN GAMES,FIVE-BN GAMES,,4860,446,0,"200,000 .. 500,000",726,0,202,0,0.0,0.0,0.0,42
435040,Incredible Dracula: Chasing Love Collector's Edition,New Bridge Games,Alawar Casual,,74,24,0,"0 .. 20,000",166,0,217,0,999.0,999.0,0.0,0
435080,Philia : the Sequel to Elansar,OrionSoft,OrionSoft,,2,2,0,"0 .. 20,000",0,0,0,0,599.0,599.0,0.0,0
435120,Rusty Lake Hotel,Rusty Lake,Rusty Lake,,8845,374,0,"500,000 .. 1,000,000",679,0,143,0,199.0,199.0,0.0,80
435140,Rush for gold: Alaska,Rainbow Games,Rainbow Games,,42,11,0,"20,000 .. 50,000",264,0,248,0,399.0,399.0,0.0,1
435150,Divinity: Original Sin 2 - Definitive Edition,Larian Studios,Larian Studios,,182166,7958,0,"5,000,000 .. 10,000,000",5091,498,2573,621,1349.0,4499.0,70.0,3510
435250,Deadhunt,REL Games,REL Games,,156,16,0,"0 .. 20,000",227,0,227,0,499.0,499.0,0.0,0
435400,Hidden Folks,"Adriaan de Jongh, Sylvain Tegroeg",Adriaan de Jongh,,8952,309,0,"200,000 .. 500,000",234,0,154,0,1499.0,1499.0,0.0,7
435420,Operation: Matriarchy,Madia Entertainment,ESDigital Games,,80,43,0,"20,000 .. 50,000",124,0,180,0,599.0,599.0,0.0,0
435440,Galaxy Control: 3D Strategy,FX Games Media,FX Games Media,,303,214,0,"200,000 .. 500,000",197,0,35,0,0.0,0.0,0.0,15
435480,Trials of the Blood Dragon,"Redlynx, Ubisoft Kiev",Ubisoft,,140,77,0,"50,000 .. 100,000",55,0,67,0,374.0,1499.0,75.0,1
435530,The Final Station,DO MY BEST,tinyBuild,,7705,1133,0,"200,000 .. 500,000",297,0,267,0,299.0,1499.0,80.0,25
435790,10 Second Ninja X,Four Circle Interactive,Curve Games,,2492,688,0,"500,000 .. 1,000,000",1540,0,12,0,99.0,999.0,90.0,3
436000,Lovely Planet Arcade,quicktequila,tinyBuild,,113,36,0,"0 .. 20,000",13,0,13,0,599.0,599.0,0.0,0
436060,Lolly Joe,Peter Valencia,Peter Valencia,,11,7,0,"0 .. 20,000",188,0,339,0,0.0,0.0,0.0,0
436150,Governor of Poker 3,Playtika Ltd.,Playtika Ltd.,,10541,4800,0,"2,000,000 .. 5,000,000",1111,1374,169,1404,0.0,0.0,0.0,1053
436160,The Panic Room,GameXP.com,GameXP.com,,314,231,0,"200,000 .. 500,000",393,0,533,0,0.0,0.0,0.0,23
436180,Spacelords,MercurySteam,Mercury Steam Entertainment s.l.,,1727,1511,0,"500,000 .. 1,000,000",344,0,53,0,0.0,0.0,0.0,5
436270,Civil War: 1863,HexWar Games,Hunted Cow Games,,30,20,0,"20,000 .. 50,000",247,0,247,0,999.0,999.0,0.0,2
436530,Bullshot,GATO STUDIO,GATO STUDIO,,197,80,0,"50,000 .. 100,000",177,0,216,0,99.0,99.0,0.0,0
436560,Kings and Heroes,Industry Games,Industry Games,,434,363,0,"50,000 .. 100,000",346,0,346,0,0.0,0.0,0.0,0
436670,The Legend of Heroes: Trails in the Sky the 3rd,Nihon Falcom,"XSEED Games, Marvelous USA, Inc.",,2014,119,0,"100,000 .. 200,000",3790,0,3073,0,2999.0,2999.0,0.0,31
437000,GUILTY GEAR 2 -OVERTURE-,Arc System Works,Arc System Works,,326,112,0,"50,000 .. 100,000",115,0,163,0,1999.0,1999.0,0.0,5
437060,MOAI 3: Trade Mission Collector's Edition,Toyman Interactive,ESDigital Games,,51,5,0,"20,000 .. 50,000",174,0,174,0,249.0,999.0,75.0,3
437080,Space Rift - Episode 1,Vibrant Core,bitComposer Interactive GmbH,,57,16,0,"0 .. 20,000",0,0,0,0,1999.0,1999.0,0.0,0
437710,Magic Flute,LabLike Sp. z o.o.,LabLike Sp. z o.o.,,10,3,0,"0 .. 20,000",7,0,7,0,499.0,499.0,0.0,0
437720,Blossoms Bloom Brightest,Reine Works,Reine Works,,136,57,0,"20,000 .. 50,000",694,0,694,0,0.0,0.0,0.0,1
437740,Inside: Before Birth,CydoniaGate,CydoniaGate,,17,24,0,"0 .. 20,000",0,0,0,0,399.0,399.0,0.0,0
437870,Earth Space Colonies,Persona and Pixel studio,Persona and Pixel studio,,82,84,0,"50,000 .. 100,000",216,0,210,0,999.0,999.0,0.0,0
437870,Earth Space Colonies,Persona and Pixel studio,Persona and Pixel studio,,82,84,0,"50,000 .. 100,000",216,0,210,0,999.0,999.0,0.0,0
437920,Tricky Towers,WeirdBeard,WeirdBeard,,14179,1516,0,"1,000,000 .. 2,000,000",457,16,196,22,1499.0,1499.0,0.0,71
438020,AI: Rampage,Sekerin Productions,New Reality Games,,206,314,0,"500,000 .. 1,000,000",252,0,266,0,199.0,199.0,0.0,1
438030,Dead6hot,Chuck Productions,New Reality Games,,232,268,0,"100,000 .. 200,000",241,0,240,0,199.0,199.0,0.0,2
438040,Shakes and Fidget,Playa Games GmbH,Playa Games GmbH,,33837,2756,0,"1,000,000 .. 2,000,000",5427,4868,439,4595,0.0,0.0,0.0,1389
438080,Surfingers,Digital Melody,Forever Entertainment S. A.,,570,139,0,"200,000 .. 500,000",198,0,199,0,199.0,199.0,0.0,1
438100,VRChat,VRChat Inc.,VRChat Inc.,,181623,58732,0,"20,000,000 .. 50,000,000",5397,1621,142,395,0.0,0.0,0.0,34699
438140,Star Realms,"Wise Wizard Games, LLC","Wise Wizard Games, LLC",,1793,276,0,"200,000 .. 500,000",912,24,258,24,0.0,0.0,0.0,57
438220,Castle Heist: Chapter 1,"Gustav ""Goffa"" Söderström",GoffaGames,,9,5,0,"0 .. 20,000",6,0,6,0,299.0,299.0,0.0,0
438260,Rewind,Stubborn Horse Studios,Stubborn Horse Studios,,16,3,0,"0 .. 20,000",0,0,0,0,899.0,899.0,0.0,0
438270,Learn Japanese To Survive! Hiragana Battle,Sleepy Duck,RIVER CROW STUDIO,,1872,186,0,"100,000 .. 200,000",168,270,124,270,699.0,699.0,0.0,2
438420,Zenith,Infinigon,Infininigon games,,426,188,0,"200,000 .. 500,000",278,0,427,0,799.0,799.0,0.0,0
438430,Valentino Rossi The Game,Milestone S.r.l.,Milestone S.r.l.,,368,79,0,"50,000 .. 100,000",338,0,380,0,1499.0,1499.0,0.0,2
438450,3DF Zephyr Lite Steam Edition,3Dflow SRL,3Dflow SRL,,70,2,0,"0 .. 20,000",0,0,0,0,24900.0,24900.0,0.0,1
438480,Rock 'N' Roll Defense,NukGames,NukGames,,2374,367,0,"500,000 .. 1,000,000",300,0,321,0,99.0,99.0,0.0,42
438490,GOD EATER 2 Rage Burst,"BANDAI NAMCO Studio, SHIFT, QLOC",BANDAI NAMCO Entertainment,,3524,1015,0,"200,000 .. 500,000",808,0,166,0,4999.0,4999.0,0.0,31
438640,LEGO STAR WARS: The Force Awakens,"Traveller's Tales, TT Games, Feral Interactive (Mac)","Warner Bros. Interactive Entertainment, Feral Interactive (Mac)",,5606,1074,0,"500,000 .. 1,000,000",879,0,323,0,1999.0,1999.0,0.0,28
438740,Friday the 13th: The Game,IllFonic,Gun Media,,62069,15444,0,"2,000,000 .. 5,000,000",1250,0,224,0,0.0,0.0,0.0,19
438820,Hyper Box,Pixelated Cupcake,Conglomerate 5,,77,24,0,"50,000 .. 100,000",168,0,242,0,99.0,99.0,0.0,17
439420,SteelLIFE,AxiPLAY,AxiPLAY,,16,5,0,"0 .. 20,000",0,0,0,0,599.0,599.0,0.0,0
439490,BLUE REVOLVER,"danbo, woof",Stellar Circle,,739,8,0,"50,000 .. 100,000",99,0,134,0,1499.0,1499.0,0.0,2
439700,Z1 Battle Royale: Test Server,Daybreak Game Company,Daybreak Game Company,,1341,1224,0,"5,000,000 .. 10,000,000",648,0,18,0,0.0,0.0,0.0,1
439770,The Lost Heir: The Fall of Daria,Hosted Games,Hosted Games,,45,16,0,"0 .. 20,000",0,0,0,0,499.0,499.0,0.0,0
439930,Control Craft 2,"Cristian Manolachi, Atomic Fabrik",Conglomerate 5,,330,110,0,"50,000 .. 100,000",260,0,275,0,99.0,99.0,0.0,8
439960,Falling Stars: War of Empires,"Riveted Games, Lock 'n Load Publishing",Lock 'n Load Publishing,,11,5,0,"0 .. 20,000",0,0,0,0,1499.0,1499.0,0.0,0
440310,Project Arrhythmia,Vitamin Games,"Top Hat Studios, Inc.",,2300,101,0,"0 .. 20,000",220,0,217,0,1199.0,1199.0,0.0,7
440420,True Fear: Forsaken Souls Part 1,Goblinz Enterprises Ltd,The Digital Lounge,,957,83,0,"100,000 .. 200,000",249,0,286,0,899.0,899.0,0.0,10
440520,VirtualHere For Steam Link,VirtualHere Pty. Ltd.,VirtualHere Pty. Ltd.,,159,178,0,"20,000 .. 50,000",633,0,681,0,1499.0,1499.0,0.0,3
440540,Ara Fell: Enhanced Edition,Stegosoft Games,DANGEN Entertainment,,2022,125,0,"100,000 .. 200,000",314,0,276,0,1499.0,1499.0,0.0,8
440650,Niche - a genetics survival game,Stray Fawn Studio,"Stray Fawn Publishing, WhisperGames",,4331,683,0,"200,000 .. 500,000",313,225,73,225,539.0,1799.0,70.0,45
440880,The Count Lucanor,Baroque Decay,Neon Doctrine,,2514,179,0,"100,000 .. 200,000",216,0,141,0,999.0,999.0,0.0,4
440900,Conan Exiles,Funcom,Funcom,,84575,22890,0,"5,000,000 .. 10,000,000",7103,2090,1567,2822,999.0,3999.0,75.0,5677
441380,PAC-MAN CHAMPIONSHIP EDITION 2,BANDAI NAMCO Studios Inc.,BANDAI NAMCO Entertainment,,1626,704,0,"200,000 .. 500,000",112,0,14,0,1299.0,1299.0,0.0,6
441550,STAR WARS Rebellion,Coolhand Interactive,"LucasArts, Lucasfilm, Disney",,1211,144,0,"200,000 .. 500,000",956,0,88,0,599.0,599.0,0.0,87
441830,I am Setsuna,Tokyo RPG Factory,Square Enix,,1188,464,0,"50,000 .. 100,000",743,0,957,0,1199.0,3999.0,70.0,2
442000,Alone K.W.,TeamWaterFly,TeamWaterFly,,24,44,0,"100,000 .. 200,000",436,0,466,0,99.0,99.0,0.0,0
442070,Drawful 2,"Jackbox Games, Inc.","Jackbox Games, Inc.",,2983,1036,0,"500,000 .. 1,000,000",115,0,9,0,999.0,999.0,0.0,22
442120,Pinball FX3,Zen Studios,Zen Studios,,4553,625,0,"500,000 .. 1,000,000",424,217,42,217,2397.0,2397.0,0.0,83
442190,Mind Dead,GBROSSOFT,GBROSSOFT,,12,31,0,"0 .. 20,000",27,0,27,0,299.0,299.0,0.0,0
442290,Pointless,Cake Collective Games,Cake Collective Games,,208,120,0,"20,000 .. 50,000",163,0,233,0,0.0,0.0,0.0,1
442500,Age of Gladiators,Creative Storm Entertainment,"Creative Storm Entertainment, Vincennes Group",,582,161,0,"100,000 .. 200,000",297,0,288,0,799.0,799.0,0.0,1
442660,The SoulKeeper VR,HELM Systems,HELM Systems,,46,34,0,"0 .. 20,000",135,0,135,0,1999.0,1999.0,0.0,0
442710,Fantasy Tales Online,Cold Tea Studio,,,318,144,0,"100,000 .. 200,000",678,0,36,0,0.0,0.0,0.0,3
443020,Victory and Glory: Napoleon,Electric Games,Slitherine Ltd.,,115,32,0,"20,000 .. 50,000",0,0,0,0,2999.0,2999.0,0.0,2
443110,Armored Warfare,"Obsidian Entertainment, Wishlist Games",Wishlist Games,,3238,1713,0,"1,000,000 .. 2,000,000",1519,0,303,0,0.0,0.0,0.0,121
443370,The Treasures of Montezuma 5,"Wellore, Alawar Entertainment",ESDigital Games,,135,58,0,"100,000 .. 200,000",128,0,128,0,699.0,699.0,0.0,5
443630,Chicku,Gatling Goat Studios,Gatling Goat Studios,,65,7,0,"20,000 .. 50,000",62,0,120,0,0.0,0.0,0.0,0
443650,Wailing Heights,Outsider Games,Outsider Games,,102,30,0,"20,000 .. 50,000",177,0,194,0,999.0,999.0,0.0,0
443810,This Is the Police,Weappy Studio,THQ Nordic,,8820,1832,0,"500,000 .. 1,000,000",689,387,339,387,374.0,1499.0,75.0,55
444020,Coffee Pot Terrarium,Brothers Flint,Brothers Flint,,4,5,0,"0 .. 20,000",2,0,2,0,499.0,499.0,0.0,0
444090,Paladins,Evil Mojo Games,Hi-Rez Studios,,294373,52031,0,"10,000,000 .. 20,000,000",3921,2878,617,3472,0.0,0.0,0.0,1028
444130,Auralux: Constellations,"Grove Street Games, E McNeill",Grove Street Games,,138,33,0,"20,000 .. 50,000",411,0,411,0,999.0,999.0,0.0,3
444170,Unhack 2,InvertMouse,InvertMouse,,78,6,0,"0 .. 20,000",191,0,219,0,599.0,599.0,0.0,0
444170,Unhack 2,InvertMouse,InvertMouse,,78,6,0,"0 .. 20,000",191,0,219,0,599.0,599.0,0.0,0
444200,World of Tanks Blitz,Wargaming Group Limited,Wargaming Group Limited,,116407,31754,0,"10,000,000 .. 20,000,000",5766,546,238,657,0.0,0.0,0.0,5707
444220,Asteroid Bounty Hunter,EGAMER,SA Industry,,513,272,0,"200,000 .. 500,000",243,0,240,0,1399.0,1399.0,0.0,0
444280,Alice's Patchwork,Creobit,8Floor,,241,45,0,"50,000 .. 100,000",340,0,294,0,299.0,299.0,0.0,1
444460,Love is Blind: Mutants,Hybriona Labs,New Reality Games,,40,79,0,"100,000 .. 200,000",252,0,264,0,0.0,0.0,0.0,1
444480,Broken Dreams,Mihai Morosanu,New Reality Games,,340,143,0,"500,000 .. 1,000,000",257,0,246,0,199.0,199.0,0.0,0
444490,POLYWAR,exagongames,New Reality Games,,362,149,0,"200,000 .. 500,000",277,0,270,0,99.0,199.0,50.0,0
444570,Ultra Engine Pro,Leadwerks Software,Leadwerks Software,,43,4,0,"0 .. 20,000",0,0,0,0,9999.0,9999.0,0.0,1
444640,Bloons TD Battles,Ninja Kiwi,Ninja Kiwi,,26414,2682,0,"1,000,000 .. 2,000,000",1053,188,144,188,0.0,0.0,0.0,215
444770,Mimpi Dreams,"Dreadlocks Mobile, Silicon Jelly","Dreadlocks Mobile, Silicon Jelly, Dreadlocks Ltd.",,1035,68,0,"0 .. 20,000",621,0,735,0,0.0,0.0,0.0,4
444930,Zaccaria Pinball,Magic Pixel Kft.,Magic Pixel Kft.,,1345,311,0,"200,000 .. 500,000",286,0,72,0,0.0,0.0,0.0,15
444940,UBERMOSH:BLACK,Walter Machado,Walter Machado,,306,59,0,"200,000 .. 500,000",241,115,273,130,49.0,99.0,51.0,42
444970,SPATIAL SOUND CARD,NEW AUDIO TECHNOLOGY,NEW AUDIO TECHNOLOGY,,163,70,0,"20,000 .. 50,000",0,0,0,0,999.0,999.0,0.0,12
444970,SPATIAL SOUND CARD,NEW AUDIO TECHNOLOGY,NEW AUDIO TECHNOLOGY,,163,70,0,"20,000 .. 50,000",0,0,0,0,999.0,999.0,0.0,12
445000,Nova Nukers!,Alchemist Interactive,Assemble Entertainment,,32,5,0,"0 .. 20,000",0,0,0,0,1199.0,1199.0,0.0,0
445040,Sorcery! Part 3,inkle Ltd,inkle Ltd,,113,9,0,"0 .. 20,000",1,0,1,0,999.0,999.0,0.0,2
445040,Sorcery! Part 3,inkle Ltd,inkle Ltd,,113,9,0,"0 .. 20,000",1,0,1,0,999.0,999.0,0.0,2
445050,Paintey,Brian Lindenhof,ShadowBrain Games,,3,1,0,"0 .. 20,000",465,0,465,0,999.0,999.0,0.0,0
445110,Tasty Planet: Back for Seconds,Dingo Games,Dingo Games,,511,42,0,"100,000 .. 200,000",184,0,235,0,799.0,799.0,0.0,6
445190,Expeditions: Viking,Logic Artists,THQ Nordic,,3310,661,0,"200,000 .. 500,000",1366,0,374,0,2999.0,2999.0,0.0,17
445220,Avorion,Boxelware,Boxelware,,12286,1328,0,"500,000 .. 1,000,000",6252,577,1544,577,2499.0,2499.0,0.0,618
445310,Might and Magic: Heroes VII – Trial by Fire,Limbic Entertainment,Ubisoft,,1041,543,0,"20,000 .. 50,000",1065,0,671,0,2999.0,2999.0,0.0,113
445420,Aselia the Eternal -The Spirit of Eternity Sword-,Xuse,JAST,,61,13,0,"0 .. 20,000",0,0,0,0,1499.0,1499.0,0.0,1
445430,Seinarukana -The Spirit of Eternity Sword 2-,Xuse,JAST,,29,4,0,"0 .. 20,000",0,0,0,0,899.0,2999.0,70.0,0
445720,Battle Islands: Commanders,DR Studios,505 Games,,423,453,0,"200,000 .. 500,000",97,0,75,0,0.0,0.0,0.0,10
445770,Airport Madness 3D,Big Fat Simulations Inc.,Big Fat Simulations Inc.,,316,55,0,"50,000 .. 100,000",336,0,365,0,2499.0,2499.0,0.0,7
445800,Love Language Japanese,Papurika.moe,Initiative Media,,137,30,0,"0 .. 20,000",57,0,99,0,1999.0,1999.0,0.0,0
445980,Wizard of Legend,Contingent99,"Contingent99, Humble Games",,18633,1887,0,"500,000 .. 1,000,000",609,0,245,0,1599.0,1599.0,0.0,70
446020,Jalopy,Minskworks,Excalibur Games,,7925,2406,0,"200,000 .. 500,000",374,136,185,136,149.0,1499.0,90.0,24
446330,Guns of Infinity,Hosted Games,Hosted Games,,124,5,0,"0 .. 20,000",0,0,0,0,799.0,799.0,0.0,1
446390,Onechanbara Z2: Chaos,Tamsoft,D3PUBLISHER,,753,205,0,"20,000 .. 50,000",540,0,322,0,3999.0,3999.0,0.0,3
446460,Highland Warriors,United Independent Entertainment,United Independent Entertainment,,52,27,0,"20,000 .. 50,000",0,0,0,0,399.0,399.0,0.0,1
446510,Armed and Gelatinous: Couch Edition,Three Flip Studios,Three Flip Studios,,12,0,0,"0 .. 20,000",0,0,0,0,1499.0,1499.0,0.0,0
446550,Infinite Minigolf,Zen Studios,Zen Studios,,99,29,0,"20,000 .. 50,000",1616,0,1616,0,1499.0,1499.0,0.0,0
446560,Just Dance 2017,"Ubisoft Paris, Ubisoft Pune",Ubisoft,,1601,418,0,"50,000 .. 100,000",395,0,406,0,0.0,0.0,0.0,4
446640,Space Pilgrim Episode IV: Sol,"Pilgrim Adventures, GrabTheGames Studios","GrabTheGames, TheGamesFortress",,360,45,0,"100,000 .. 200,000",232,0,227,0,55.0,199.0,72.0,9
446760,Neighborhorde,Fermenter Games,First Break Labs,,35,8,0,"0 .. 20,000",141,0,228,0,499.0,499.0,0.0,0
446780,AMOK,Asset Flip Studio,Asset Flip Studio,,89,118,0,"50,000 .. 100,000",220,0,248,0,99.0,99.0,0.0,0
446800,Transport Fever,Urban Games,Good Shepherd Entertainment,,8934,1788,0,"1,000,000 .. 2,000,000",2446,0,940,0,2999.0,2999.0,0.0,91
446810,Blossom Tales: The Sleeping King,"Castle Pixel, LLC.",FDG Entertainment,,601,91,0,"0 .. 20,000",195,0,111,0,1499.0,1499.0,0.0,3
447020,Farming Simulator 17,GIANTS Software,GIANTS Software,,23379,1630,0,"1,000,000 .. 2,000,000",5819,0,1652,0,1499.0,1499.0,0.0,221
447040,Watch_Dogs 2,Ubisoft,Ubisoft,,68213,14166,0,"2,000,000 .. 5,000,000",1733,283,595,382,499.0,4999.0,90.0,863
447120,Where the Water Tastes Like Wine,"Dim Bulb Games, Serenity Forge",Good Shepherd Entertainment,,1227,386,0,"50,000 .. 100,000",184,0,107,0,1999.0,1999.0,0.0,3
447150,APE OUT,"Gabe Cuzzillo, Bennett Foddy, Maxi Boch",Devolver Digital,,3345,181,0,"200,000 .. 500,000",125,0,87,0,299.0,1499.0,80.0,12
447290,Redeemer: Enhanced Edition,Sobaka Studio,ESDigital Games,,2657,380,0,"200,000 .. 500,000",423,0,163,0,999.0,999.0,0.0,2
447530,VA-11 Hall-A: Cyberpunk Bartender Action,Sukeban Games,"Ysbryd Games, PLAYISM",,35526,936,0,"500,000 .. 1,000,000",483,458,269,458,1499.0,1499.0,0.0,62
447800,LostWinds 2: Winter of the Melodias,Frontier Developments,Frontier Developments,,264,55,0,"50,000 .. 100,000",216,0,273,0,199.0,999.0,80.0,0
447800,LostWinds 2: Winter of the Melodias,Frontier Developments,Frontier Developments,,264,55,0,"50,000 .. 100,000",216,0,273,0,199.0,999.0,80.0,0
447820,Day of Infamy,New World Interactive,New World Interactive,,18172,3883,0,"1,000,000 .. 2,000,000",1070,0,298,0,374.0,1499.0,75.0,17
447850,The Next Door,Labory,SA Industry,,483,422,0,"500,000 .. 1,000,000",226,0,213,0,499.0,499.0,0.0,1
447960,XCavalypse,davevillz,davevillz,,29,19,0,"0 .. 20,000",284,0,284,0,599.0,599.0,0.0,0
447990,Spectrubes,The Light Sword Team,The Light Sword Team,,13,10,0,"0 .. 20,000",252,0,247,0,199.0,199.0,0.0,0
447990,Spectrubes,The Light Sword Team,The Light Sword Team,,13,10,0,"0 .. 20,000",252,0,247,0,199.0,199.0,0.0,0
448020,Share,HFM Games,HFM Games,,242,97,0,"50,000 .. 100,000",190,0,190,0,99.0,99.0,0.0,0
448070,Red Risk,Microblast Games,SA Industry,,546,391,0,"200,000 .. 500,000",293,0,275,0,499.0,499.0,0.0,0
448080,Fibbage XL,"Jackbox Games, Inc.","Jackbox Games, Inc.",,301,17,0,"50,000 .. 100,000",240,0,189,0,999.0,999.0,0.0,6
448160,WOLFLAME,ASTRO PORT,Henteko Doujin,,91,16,0,"50,000 .. 100,000",0,0,0,0,599.0,599.0,0.0,0
448240,Hybrids Arena,Abstract Software Inc.,Abstract Software Inc.,,227,187,0,"20,000 .. 50,000",75,0,125,0,699.0,699.0,0.0,0
448280,Job Simulator,Owlchemy Labs,Owlchemy Labs,,4555,448,0,"200,000 .. 500,000",372,88,197,88,1999.0,1999.0,0.0,44
448320,GIBZ,Torrunt,Torrunt,,1252,179,0,"100,000 .. 200,000",277,0,182,0,125.0,699.0,82.0,17
448390,Maneki's Curse,N.R. Burnette,N.R. Burnette,,22,14,0,"0 .. 20,000",1306,0,1306,0,0.0,0.0,0.0,0
448480,Caravanserail,Jerome Bodin,Jerome Bodin,,33,26,0,"0 .. 20,000",212,0,219,0,299.0,299.0,0.0,0
448510,Overcooked,Ghost Town Games Ltd.,Team17 Digital Ltd,,13706,1469,0,"1,000,000 .. 2,000,000",289,30,111,30,1699.0,1699.0,0.0,61
448790,Infinity Wings - Scout & Grunt,XiNFiNiTY Games,OtakuMaker SARL,,26,19,0,"20,000 .. 50,000",219,0,215,0,199.0,199.0,0.0,0
448850,Overload,"Revival Productions, LLC","Revival Productions, LLC",,1903,119,0,"50,000 .. 100,000",167,0,217,0,2999.0,2999.0,0.0,8
448910,Axes and Acres,BrainGoodGames,BrainGoodGames,,117,29,0,"20,000 .. 50,000",153,0,170,0,499.0,999.0,50.0,1
448910,Axes and Acres,BrainGoodGames,BrainGoodGames,,117,29,0,"20,000 .. 50,000",153,0,170,0,499.0,999.0,50.0,1
449000,Steno Arcade,For All To Play,For All To Play,,141,40,0,"50,000 .. 100,000",695,0,695,0,0.0,0.0,0.0,2
449100,City of the Shroud,Abyssal Arts Ltd.,Abyssal Arts Ltd.,,19,5,0,"0 .. 20,000",0,0,0,0,0.0,0.0,0.0,0
449130,ENGAGE,ENGAGE XR Ltd.,ENGAGE XR Ltd.,,66,13,0,"50,000 .. 100,000",175,0,15,0,0.0,0.0,0.0,0
449140,Istrolid,treeform,treeform,,2325,337,0,"500,000 .. 1,000,000",288,28,111,28,0.0,0.0,0.0,6
449150,PataNoir,Simon Christiansen,SiChris Productions,,14,2,0,"0 .. 20,000",0,0,0,0,999.0,999.0,0.0,0
449220,A grande bagunça espacial - The big space mess,RMAL,RMAL,,836,391,0,"100,000 .. 200,000",328,0,277,0,99.0,99.0,0.0,1
449510,The Crow's Eye,3D2 Entertainment,Akupara Games,,140,49,0,"50,000 .. 100,000",265,0,374,0,999.0,999.0,0.0,0
449550,Chicken Invaders 2,InterAction studios,InterAction studios,,527,17,0,"50,000 .. 100,000",813,0,1150,0,499.0,499.0,0.0,2
449610,Monster Boy and the Cursed Kingdom,Game Atelier,FDG Entertainment,,2188,267,0,"100,000 .. 200,000",821,0,875,0,2999.0,2999.0,0.0,9
449710,REDCON,Hexage,Hexage,,633,118,0,"50,000 .. 100,000",288,0,404,0,1499.0,1499.0,0.0,5
449800,Attack on Titan / A.O.T. Wings of Freedom,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",,3264,567,0,"50,000 .. 100,000",940,0,727,0,3999.0,3999.0,0.0,3
449960,Book of Demons,Thing Trunk,Thing Trunk,,9539,2413,0,"500,000 .. 1,000,000",1611,0,265,0,2499.0,2499.0,0.0,12
450120,Capitalism Plus,Enlight Software Limited,"Enlight Software Limited, Retroism",,93,18,0,"0 .. 20,000",12,0,12,0,599.0,599.0,0.0,0
450140,Seven Kingdoms: Ancient Adversaries,Enlight Software Limited,"Enlight Software Limited, Retroism",,207,10,0,"50,000 .. 100,000",124,0,174,0,299.0,599.0,50.0,12
450290,Assault on Arnhem,"Bookmark Games, HexWar Games",Hunted Cow Games,,31,33,0,"50,000 .. 100,000",235,0,324,0,999.0,999.0,0.0,0
450390,The Lab,Valve,Valve,,6066,323,0,"1,000,000 .. 2,000,000",127,14,49,14,0.0,0.0,0.0,18
450440,Creepy Castle,Dopterra,"Nicalis, Inc.",,205,23,0,"20,000 .. 50,000",1066,0,1090,0,999.0,999.0,0.0,1
450500,Ace of Seafood,Calappa Games,PLAYISM,,544,61,0,"50,000 .. 100,000",199,0,273,0,239.0,1199.0,80.0,0
450540,"Hot Dogs, Horseshoes & Hand Grenades",RUST LTD.,RUST LTD.,,21452,652,0,"1,000,000 .. 2,000,000",3420,116,442,159,1999.0,1999.0,0.0,218
450600,Safety Driving Simulator: Motorbike,United Independent Entertainment,United Independent Entertainment,,16,22,0,"0 .. 20,000",0,0,0,0,399.0,399.0,0.0,0
450630,Woeful Woebots,Hello Bard AS,Hello Bard AS,,14,7,0,"50,000 .. 100,000",0,0,0,0,999.0,999.0,0.0,0
450670,Table Top Racing: World Tour,Playrise Digital Ltd.,Playrise Digital Ltd.,,527,158,0,"200,000 .. 500,000",101,0,60,0,399.0,399.0,0.0,1
