appid,name
17430,Need for Speed Undercover
17440,SPORE Creepy & Cute Parts Pack
17450,Dragon Age: Origins
17460,Mass Effect (2007)
17470,Dead Space (2008)
17480,Command & Conquer: Red Alert 3
17500,Zombie Panic! Source
17570,"Pirates, Vikings, and Knights II"
17580,Dystopia
17710,Nuclear Dawn
17740,Empires Mod
18020,"Precipice of Darkness, Episode Two"
18070,The Baconing
18400,Crazy Machines 2
18420,Crazy Machines
18470,Helldorado
18500,Defense Grid: The Awakening
19000,Silent Hill Homecoming
19680,Alice: Madness Returns
19800,Brothers in Arms: Earned in Blood
19830,Tom Clancy's Rainbow Six 3 Gold
19900,Far Cry 2
19980,Prince of Persia
20500,Red Faction Guerrilla Steam Edition
20510,S.T.A.L.K.E.R.: Clear Sky
20530,Red Faction
20540,Company of Heroes: Tales of Valor
20550,Red Faction II
20570,"Warhammer 40,000: Dawn of War II Chaos Rising"
20700,Starscape
20900,The Witcher: Enhanced Edition Director's Cut
20920,The Witcher 2: Assassins of Kings Enhanced Edition
21000,LEGO Batman: The Videogame
21010,Watchmen: The End is Nigh
21030,Watchmen: The End is Nigh Part 2
21090,F.E.A.R.
21100,F.E.A.R. 3
21130,LEGO Harry Potter: Years 1-4
21600,Age of Booty
21670,Bionic Commando
21680,Bionic Commando: Rearmed
21690,Resident Evil 5
21800,Tom Clancy's EndWar
21980,Call of Juarez: Bound in Blood
22000,World of Goo
22100,Mount & Blade
22130,Hearts of Iron 2 Complete
22180,Penumbra Overture
22200,Zeno Clash
22230,Rock of Ages
22300,Fallout 3
22310,Rogue Warrior
22320,The Elder Scrolls III: Morrowind Game of the Year Edition
22330,The Elder Scrolls IV: Oblivion Game of the Year Edition (2009)
22340,Call of Cthulhu: Dark Corners of the Earth
22350,BRINK
22370,Fallout 3: Game of the Year Edition
22380,Fallout: New Vegas
22450,Hunted: The Demon’s Forge
22490,Fallout: New Vegas
22500,Spectromancer
22600,Worms Reloaded
22670,Alien Breed 3: Descent
23300,Yosumin!
23310,The Last Remnant
23400,Imperium Romanum Gold Edition
23450,Grand Ages: Rome
23490,Tropico 3
23500,Puzzle Quest: Galactrix
23530,Earth Defense Force: Insect Armageddon
23600,Depths of Peril
24010,Train Simulator Classic 2024
24200,DC Universe Online
24240,PAYDAY The Heist
24400,King Arthur - The Role-playing Wargame
24410,Crusaders: Thy Kingdom Come
24420,Aquaria
24480,King Arthur II: The Role-Playing Wargame
24650,Trainz Settle and Carlisle
24670,Trainz Simulator 12
24720,SPORE Galactic Adventures
24740,Burnout Paradise: The Ultimate Box
24780,SimCity 4 Deluxe Edition
24790,Command & Conquer 3: Tiberium Wars
24800,Command & Conquer: Red Alert 3 - Uprising
24810,Command & Conquer 3: Kane’s Wrath
24840,Medal of Honor: Airborne
24870,Need for Speed: Shift
24880,The Saboteur
24960,Battlefield: Bad Company 2
24980,Mass Effect 2 (2010 Edition)
25000,Overgrowth
25800,Europa Universalis III Complete
25830,Knights of Honor
25890,Hearts of Iron III
25900,King's Bounty: The Legend
25910,Supreme Ruler 2020 Gold
25930,East India Company
25980,Majesty 2
25990,Majesty Gold HD
26800,Braid
27000,The Path
27940,Dead Horde
28000,Kane & Lynch 2: Dog Days
29180,Osmos
29900,Dark Sector
31170,Tales of Monkey Island: Complete Season
31180,Tales of Monkey Island Complete Pack: Chapter 2 - The Siege of Spinner Cay
31180,Tales of Monkey Island Complete Pack: Chapter 2 - The Siege of Spinner Cay
31190,Tales of Monkey Island Complete Pack: Chapter 3 - Lair of the Leviathan
31200,Tales of Monkey Island Complete Pack: Chapter 4 - The Trial and Execution of Guybrush Threepwood
31240,Sam & Max 303: They Stole Max's Brain!
31260,Sam & Max 305: The City That Dares Not Sleep
31280,Poker Night at the Inventory
31700,Iron Grip: Warlord
31800,Nancy Drew: Danger by Design
31810,Nancy Drew: Last Train to Blue Moon Canyon
31820,Nancy Drew: The Haunted Carousel
31830,Nancy Drew: Curse of Blackmoor Manor
31840,Nancy Drew: Danger on Deception Island
31850,Nancy Drew: Ghost Dogs of Moon Lake
31860,Nancy Drew: Legend of the Crystal Skull
31880,Nancy Drew: Secret of the Old Clock
31890,Nancy Drew: Secret of the Scarlet Hand
31900,Nancy Drew: The Creature of Kapu Cave
31910,Nancy Drew: The Haunting of Castle Malloy
31920,Nancy Drew: The Phantom of Venice
31930,Nancy Drew: The White Wolf of Icicle Creek
32110,LUXOR: Mah Jong
32120,Chainz 2: Relinked
32150,Everyday Genius: SquareLogic
32310,Indiana Jones and the Last Crusade
32330,LEGO Indiana Jones: The Original Adventures
32350,STAR WARS Starfighter
32360,The Secret of Monkey Island: Special Edition
32370,STAR WARS Knights of the Old Republic
32380,STAR WARS Jedi Knight: Dark Forces II
32400,"STAR WARS Dark Forces (Classic, 1995)"
32420,STAR WARS: The Clone Wars - Republic Heroes
32430,STAR WARS - The Force Unleashed Ultimate Sith Edition
32440,LEGO Star Wars - The Complete Saga
32450,LEGO Indiana Jones 2: The Adventure Continues
32460,Monkey Island 2 Special Edition: LeChuck’s Revenge
32470,STAR WARS Empire at War - Gold Pack
32500,STAR WARS: The Force Unleashed II
32510,LEGO Star Wars III - The Clone Wars
32620,Delta Force 1
32640,Delta Force Land Warrior
32650,Delta Force: Task Force Dagger
32670,Delta Force: Black Hawk Down
32680,Delta Force — Black Hawk Down: Team Sabre
32720,F-16 Multirole Fighter
32770,Joint Operations: Combined Arms Gold
32800,Lord of the Rings: War in the North
32900,Restaurant Empire II
32900,Restaurant Empire II
33100,Alien Shooter
33110,Alien Shooter: Revisited
33120,Alien Shooter 2: Reloaded
33180,Zombie Shooter 2
33210,Dawn of Discovery
33220,Tom Clancy's Splinter Cell Conviction
33230,Assassin's Creed 2
33320,Prince of Persia: The Forgotten Sands
33460,From Dust
33520,Tropico Reloaded
33570,Patrician III
33600,Broken Sword 2 - the Smoking Mirror: Remastered (2010)
33610,Broken Sword 3 - the Sleeping Dragon (2003)
33620,Crash Time 3
33670,Disciples III - Renaissance Steam Special Edition
33730,18 Wheels of Steel: Extreme Trucker
33770,Drakensang: The River of Time
33900,Arma 2
33910,ARMA 2
33930,Arma 2: Operation Arrowhead
33950,Fish Fillets 2
34010,Alpha Protocol
34030,Total War: NAPOLEON – Definitive Edition
34190,Sonic & SEGA All-Stars Racing
34270,SEGA Mega Drive and Genesis Classics
34310,Galaxy Force II
34330,Total War: SHOGUN 2
34600,Order of War
34640,Massive Assault: Phantom Renaissance
34640,Massive Assault: Phantom Renaissance
34820,Combat Wings: Battle of Britain
34830,Sniper: Ghost Warrior
34870,Sniper: Ghost Warrior 2
34900,Bad Rats: the Rats' Revenge
35000,Mini Ninjas
35130,Lara Croft and the Guardian of Light
35140,Batman: Arkham Asylum Game of the Year Edition
35450,Red Orchestra 2: Heroes of Stalingrad with Rising Storm
35700,Trine Enchanted Edition
35720,Trine 2: Complete Story
36100,Tradewinds Classics
36130,Tradewinds Caravans + Odyssey Pack
36240,Kuros
36270,Super Granny Collection
36300,Cake Mania Main Street
36900,Angle of Attack
37000,The Void
37010,Ninja Blade
37030,UFO: Extraterrestrials Gold
37210,Chocolatier: Decadence by Design
37220,Cooking Dash
37220,Cooking Dash
37240,Diner Dash: Hometown Hero
37270,Wandering Willows
37280,Wedding Dash 2: Rings Around the World
37340,Fitness Dash
37360,Mahjong Roadshow
37370,TriJinx: A Kristine Kross Mystery
37380,Valerie Porter and the Scarlet Scandal
37390,Gemini Lost
37400,"Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack"
37960,Jewel Quest Pack
38000,Mahjong Quest Collection
38000,Mahjong Quest Collection
38080,Build-A-Lot
38080,Build-A-Lot
38100,Build-A-Lot 3: Passport to Europe
38110,Build-A-Lot 4: Power Source
38120,Farm Frenzy
38130,Farm Frenzy 2
38140,Farm Frenzy: Pizza Party
38150,Farm Frenzy 3
38170,Cradle of Rome
38180,Cradle of Persia
38230,Hotel Giant 2
38400,Fallout: A Post Nuclear Role Playing Game
38410,Fallout 2: A Post Nuclear Role Playing Game
38420,Fallout Tactics: Brotherhood of Steel
38440,Sacrifice
38450,MDK
38450,MDK
38490,Earthworm Jim 2
38700,Toki Tori
39000,Moonbase Alpha
39110,SEASON OF MYSTERY: The Cherry Blossom Murders
39120,RIFT
39140,FINAL FANTASY VII
39150,FINAL FANTASY VIII
39160,Dungeon Siege III
39190,Dungeon Siege
39200,Dungeon Siege II
39210,FINAL FANTASY XIV Online
39500,Gothic 3
39510,Gothic II: Gold Edition
39520,The Guild Gold Edition
39530,Painkiller: Black Edition
39540,SpellForce - Platinum Edition
39550,SpellForce 2 - Anniversary Edition
39640,AquaNox 2: Revelation
39650,The Guild II
39660,The Guild II - Pirates of the European Seas
39670,Chaser
39680,The Guild II Renaissance
39690,ArcaniA
39800,Nation Red
40100,Supreme Commander 2
40300,Risen
40320,Rush for Berlin Gold
40330,Secret Files: Tunguska
40370,Emergency 2012
40380,nail'd
40390,Risen 2: Dark Waters
40400,AI War: Fleet Command
40700,Machinarium
40720,Samorost 2
40800,Super Meat Boy
40930,The Misadventures of P.B. Winterbottom
40950,Stronghold HD (2012)
40960,Stronghold 2: Steam Edition
40970,Stronghold Crusader HD (2012)
40980,Stronghold Legends: Steam Edition
40990,Mafia
41000,Serious Sam HD: The First Encounter
41050,Serious Sam Classic: The First Encounter
41060,Serious Sam Classic: The Second Encounter
41070,Serious Sam 3: BFE
41100,Hammerfight
41300,Altitude
41500,Torchlight
41700,S.T.A.L.K.E.R.: Call of Pripyat
41900,The Bard's Tale ARPG: Remastered and Resnarkled
42170,Krater
42220,Nancy Drew: The Captive Curse
42230,Nancy Drew: Trail of the Twister
42670,Singularity
42680,Call of Duty: Modern Warfare 3 (2011)
42700,Call of Duty: Black Ops
42810,For The Glory: A Europa Universalis Game
42850,Arsenal of Democracy: A Hearts of Iron Game
42890,Sword of the Stars: Complete Collection
42910,Magicka
42960,Victoria II
42980,Victoria I Complete
42980,Victoria I Complete
42990,Sword of the Stars II: Enhanced Edition
43000,Front Mission Evolved
43600,Nancy Drew: Warnings at Waverly Academy
44340,Operation Flashpoint: Red River
44360,F1 2011
44690,GT Legends
44690,GT Legends
45000,Sol Survivor
45100,Secret of the Magic Crystals
45300,Wings of Prey
45700,Devil May Cry 4
45720,Lost Planet: Extreme Condition Colonies Edition
45740,Dead Rising 2
45750,Lost Planet 2
45760,Ultra Street Fighter IV
45770,Dead Rising 2: Off the Record
46200,A.I.M. Racing
46250,NecroVisioN: Lost Company
46260,Star Wolves 3: Civil War
46270,Star Wolves
46280,Star Wolves 2
46380,Reign: Conflict of Nations
46380,Reign: Conflict of Nations
46400,Greed: Black Border
46410,Avencast: Rise of the Mage
46480,Still Life
46500,Syberia
46510,Syberia II
46540,Trapped Dead
46550,Post Mortem
46560,Robin Hood: The Legend of Sherwood
46770,Making History II: The War of the World
47130,Book of Legends
47400,Stronghold 3 Gold
47410,Stronghold Kingdoms
47500,Mishap: An Accidental Haunting
47540,Puzzle Quest 2
47700,Command & Conquer 4: Tiberian Twilight
47780,Dead Space 2
47790,Medal of Honor
47800,RISK: Factions
47810,Dragon Age: Origins - Ultimate Edition
47870,Need For Speed: Hot Pursuit
47890,The Sims 3
47920,Shift 2 Unleashed
48000,LIMBO
48110,Silent Hunter 5: Battle of the Atlantic
48190,Assassin’s Creed Brotherhood
48220,Might & Magic: Heroes VI
48240,Anno 2070
48700,Mount & Blade: Warband
48720,Mount & Blade: With Fire & Sword
48800,Ship Simulator Extremes
49300,Commander: Conquest of the Americas
49470,Magic: The Gathering - Duels of the Planeswalkers 2012
49520,Borderlands 2
49540,Aliens: Colonial Marines Collection
50130,Mafia II (Classic)
50300,Spec Ops: The Line
50620,Darksiders
50960,Mystery Case Files: Huntsville
50970,Mystery Case Files: Madame Fate
50990,Mystery Case Files: Ravenhearst
51000,Mystery Case Files: Return to Ravenhearst
51010,My Tribe
55040,Atom Zombie Smasher
55100,Homefront
55110,Red Faction: Armageddon
55140,MX vs. ATV Reflex
55150,"Warhammer 40,000: Space Marine - Anniversary Edition"
55230,Saints Row: The Third
57300,Amnesia: The Dark Descent
57620,Patrician IV
57640,Broken Sword: Director's Cut (2009)
57650,Dungeons
57680,The First Templar - Steam Special Edition
57690,Tropico 4
57740,Jagged Alliance - Back in Action
57800,Doc Clock: The Toasted Sandwich of Time
57900,Duke Nukem Forever
58520,Blood Bowl - Legendary Edition
58550,A Game of Thrones - Genesis
58570,The Next BIG Thing
58610,Wargame: European Escalation
60340,Luxor: 5th Passage
61100,Lucid
61100,Lucid
61500,Age of Wonders
61510,Age of Wonders II: The Wizard's Throne
61520,Age of Wonders Shadow Magic
61600,Zen Bound 2
61700,Might & Magic: Clash of Heroes
61730,Critter Crunch
63110,Alter Ego
63230,Monday Night Combat Development
63380,Sniper Elite V2
63500,Swords and Soldiers HD
63610,Riven (1997)
63630,The Manhole: Masterpiece Edition
63660,Myst: Masterpiece Edition
63710,BIT.TRIP RUNNER
63900,Fantasy Wars
63910,King's Bounty: Crossworlds
63940,Men of War: Vietnam
63950,IL-2 Sturmovik: Cliffs of Dover
64000,Men of War: Assault Squad
65070,Ride 'em Low
65300,Dustforce DX
65530,SpellForce 2: Faith in Destiny
65540,Gothic 1
65560,Painkiller Redemption
65600,Gothic 3: Forsaken Gods Enhanced Edition
65610,ArcaniA: Fall of Setarrif
65780,ARMA: Gold Edition
65790,ARMA: Cold War Assault
65800,Dungeon Defenders
65930,The Bureau: XCOM Declassified
65980,Sid Meier's Civilization: Beyond Earth
67370,The Darkness II
70000,Dino D-Day
70100,Hacker Evolution
70100,Hacker Evolution
70110,Hacker Evolution: Untold
70200,Governor of Poker 2
70200,Governor of Poker 2
70210,Governor of Poker 2 - Premium Edition
70210,Governor of Poker 2 - Premium Edition
70300,VVVVVV
70400,Recettear: An Item Shop's Tale
70600,Worms Ultimate Mayhem
71230,Crazy Taxi
71250,Sonic Adventure DX
71260,Space Channel 5: Part 2
71310,Football Manager 2012 Korean
71340,Sonic Generations Collection
72200,Universe Sandbox Legacy
72530,Arcadia Beta
72850,The Elder Scrolls V: Skyrim
73010,Cities in Motion
73020,Majesty 2 Collection
73060,Defenders of Ardania
73170,Darkest Hour: A Hearts of Iron Game
73190,Pride of Nations
73220,Supreme Ruler: Cold War
78000,Bejeweled 3
80330,The Blackwell Legacy
90200,Farming Simulator 2011
91100,SkyDrift
91600,Sanctum
91700,E.Y.E: Divine Cybermancy
92300,A.R.E.S.: Extinction Agenda
92800,SpaceChem
93200,Revenge of the Titans
94300,The Dream Machine: Chapter 1 & 2
94400,Nidhogg
94500,Back to the Future: Ep 2 - Get Tannen!
94500,Back to the Future: Ep 2 - Get Tannen!
94520,Back to the Future: Ep 4 - Double Visions
94600,Hector: Episode 1
95400,ibb & obb
96000,The Tiny Bang Story
97000,Solar 2
97100,Section 8: Prejudice
97120,Kohan: Ahriman's Gift
97330,Magic: The Gathering - Duels of the Planeswalkers 2013
98100,Trauma
98200,Frozen Synapse
98400,Hard Reset Extended Edition
98500,Naval Warfare
98800,Dungeons of Dredmor
99300,Renegade Ops
99900,Spiral Knights
99910,Puzzle Pirates
102500,Kingdoms of Amalur: Reckoning
102600,Orcs Must Die!
102840,Shank 2
104000,iBomber Defense
104100,Inside a Star-filled Sky
104200,BEEP
104600,Portal 2 - The Final Hours
104900,ORION: Prelude
105000,A New Beginning - Final Cut
105450,Age of Empires III (2007)
105600,Terraria
107100,Bastion
107200,Space Pirates and Zombies
107410,Arma 3
108200,Ticket to Ride: Classic Edition
108600,Project Zomboid
108700,Death Rally
108710,Alan Wake
108800,Crysis 2 - Maximum Edition
109600,Neverwinter
110500,Data Jammers: FastForward
110800,L.A. Noire
111600,Serious Sam Double D XXL
111900,Guardians of Middle-earth
112100,Avadon: The Black Fortress
113020,Monaco: What's Yours Is Mine
113200,The Binding of Isaac
113400,APB Reloaded
113420,Fallen Earth Free2Play
115100,Costume Quest
115110,Stacking
115120,Iron Brigade
115200,Cossacks II: Napoleonic Wars
115210,American Conquest
115220,American Conquest: Fight Back
115320,Prototype 2
115800,Owlboy
200010,Quantum Conundrum
200020,Global Ops: Commando Libya
200080,Nancy Drew: Shadow at the Water's Edge
200150,Battle Chess: Game of Kings
200170,Worms Revolution
200210,Realm of the Mad God Exalt
200260,Batman: Arkham City - Game of the Year Edition
200510,XCOM: Enemy Unknown
200710,Torchlight II
200900,Cave Story+
200910,Before the Echo
200940,Sonic CD
200990,Geneforge 3
201210,Pox Nora
201230,EverQuest II
201290,Sins of a Solar Empire: Trinity
201490,Airline Tycoon 2
201510,FlatOut 3: Chaos & Destruction
201790,Orcs Must Die! 2
201810,Wolfenstein: The New Order
201830,Jurassic Park: The Game
201870,Assassin's Creed Revelations
202170,Sleeping Dogs
202200,Galactic Civilizations II: Ultimate Edition
202310,Ridge Racer Unbounded
202370,Scary Girl
202530,Sonic the Hedgehog 4 - Episode I
202690,Hegemony Gold: Wars of Ancient Greece
202710,Demigod
202750,Alan Wake's American Nightmare
202860,Real Warfare 2: Northern Crusades
202970,Call of Duty: Black Ops II
203140,Hitman: Absolution
203160,Tomb Raider
203290,America's Army: Proving Grounds
203350,King's Bounty: Warriors of the North
203630,Warlock - Master of the Arcane
203650,Sonic the Hedgehog 4 - Episode II
203750,Binary Domain
203770,Crusader Kings II
203810,Dear Esther
203830,The Dark Eye: Chains of Satinav
203990,SATAZIUS
204030,Fable - The Lost Chapters
204100,Max Payne 3
204120,LEGO Harry Potter: Years 5-7
204240,The Bridge
204300,Awesomenauts
204340,Serious Sam 2
204360,Castle Crashers
204450,Call of Juarez: Gunslinger
204530,Infested Planet
204630,Retro City Rampage DX
204860,Men of War: Condemned Heroes
204880,Sins of a Solar Empire: Rebellion
204940,Crusader Kings Complete
205020,Lumino City
205100,Dishonored
205610,Port Royale 3
